grouping_dimension,group_value,row_count,request_count,episode_count,geography_count,concept_count,repeat_count,request_concept_group_count,repeated_request_count,repeat_eligible_request_concept_group_count,multi_repeat_request_concept_group_count
request_id,3124a7b93627d95b9bea9d020e66484c22842ffe18d350128dff1e818b8e55b4,5,1,1,1,5,1,5,0,0,0
request_id,3f56c0edeefc278665060df9109a1f9205dbbd0b8a3b70a9df2e31781ea6abaa,5,1,1,1,5,1,5,0,0,0
request_id,4fa3e3a43c4e51fcb0aa3fa5df49b66986cfd384077fbfa4604b656bfb01a091,5,1,1,1,5,1,5,0,0,0
request_id,50f911f9065e4bffc0fb160b9dd45c31834661cc0d5f8044df5137692e85c8df,5,1,1,1,5,1,5,0,0,0
request_id,d7825d9b97515a3207c965a659da8883e2f3663ea0dbd5402565a7b9febf5351,10,1,1,1,5,2,5,1,5,0
episode_id,2b8c3b13ba6ba6894d71787047199464879cd0f152296a20978fba0705db15b0,5,1,1,1,5,1,5,0,0,0
episode_id,7b036a07d1c28215e94073743eb9b98afce66f35162eb330c594bf1de210da98,5,1,1,1,5,1,5,0,0,0
episode_id,7c98d6b702ff2407abb66776b817d9dd2396f8d7ca4b73e7d7b3e2106c7c1cf0,5,1,1,1,5,1,5,0,0,0
episode_id,a0cd69165cb73cd416136b722be3038e738d6bd0bd68e5d14421c4514701a2b3,10,1,1,1,5,2,5,1,5,0
episode_id,c811f5a7a428ef05a76332a251ad22012716ccef8880582ed303c4765656835a,5,1,1,1,5,1,5,0,0,0
geography,US-FL,10,1,1,1,5,2,5,1,5,0
geography,US-KS,5,1,1,1,5,1,5,0,0,0
geography,US-MS,5,1,1,1,5,1,5,0,0,0
geography,US-WA,5,1,1,1,5,1,5,0,0,0
geography,US-WY,5,1,1,1,5,1,5,0,0,0
concept_id,context_heavy_rain,6,5,5,5,1,2,5,1,1,0
concept_id,context_weather,6,5,5,5,1,2,5,1,1,0
concept_id,flash_flood,6,5,5,5,1,2,5,1,1,0
concept_id,flood,6,5,5,5,1,2,5,1,1,0
concept_id,flooding,6,5,5,5,1,2,5,1,1,0
terminology_version,0.8A-v3,30,5,5,5,5,2,25,1,5,0
request_role,treated_state,30,5,5,5,5,2,25,1,5,0
semantic_family,context,12,5,5,5,2,2,10,1,2,0
semantic_family,flood_awareness,18,5,5,5,3,2,15,1,3,0
