metric,data_type,metric_character,valid_observation_count,missing_count,finite_count,non_finite_count,independent_request_count,independent_episode_count,independent_geography_count,concept_count,repeated_request_count,repeat_eligible_request_concept_group_count,minimum,maximum,mean,median,standard_deviation,interquartile_range,zero_fraction,positive_count,negative_count,descriptive,repeat_reliability,population_inference,bootstrap,permutation,ineligibility_reasons
repeat_count,int64,count_like,30,0,30,0,5,5,5,5,1,5,1,2,1.33333333333,1,0.479463301485,1,0,30,0,yes,ineligible,ineligible,ineligible_current_batch_design_not_established,ineligible_current_batch_no_exchangeable_units,count_like_not_primary_response;insufficient_independent_requests_5_below_20
repeat_stability_flag,bool,flag_derived,30,0,30,0,5,5,5,5,1,5,0,1,0.266666666667,0,0.449776445109,0.75,0.733333333333,8,0,yes,ineligible,ineligible,ineligible_current_batch_design_not_established,ineligible_current_batch_no_exchangeable_units,flag_derived_not_primary_response;insufficient_independent_requests_5_below_20
maximum_repeat_phase_lift_stddev,double,continuous,2,28,2,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,yes,ineligible,ineligible,ineligible_current_batch_design_not_established,ineligible_current_batch_no_exchangeable_units,constant_or_single_value;more_than_50_percent_missing;insufficient_independent_requests_1_below_20
baseline_valid_day_count,int64,count_like,30,0,30,0,5,5,5,5,1,5,21,21,21,21,0,0,0,30,0,yes,ineligible,ineligible,ineligible_current_batch_design_not_established,ineligible_current_batch_no_exchangeable_units,constant_or_single_value;count_like_not_primary_response;insufficient_independent_requests_5_below_20
event_valid_day_count,int64,count_like,30,0,30,0,5,5,5,5,1,5,1,3,1.66666666667,1.5,0.758098043579,1,0,30,0,yes,ineligible,ineligible,ineligible_current_batch_design_not_established,ineligible_current_batch_no_exchangeable_units,count_like_not_primary_response;insufficient_independent_requests_5_below_20
post_valid_day_count,int64,count_like,30,0,30,0,5,5,5,5,1,5,29,31,30.3333333333,30.5,0.758098043579,1,0,30,0,yes,ineligible,ineligible,ineligible_current_batch_design_not_established,ineligible_current_batch_no_exchangeable_units,count_like_not_primary_response;insufficient_independent_requests_5_below_20
baseline_mean,double,continuous,30,0,30,0,5,5,5,5,1,5,0,56.8095238095,9.12380952381,0,19.556281219,0.833333333333,0.533333333333,14,0,yes,exploratory_pairwise_only,ineligible,ineligible_current_batch_design_not_established,ineligible_current_batch_no_exchangeable_units,insufficient_independent_requests_5_below_20
baseline_median,double,continuous,30,0,30,0,5,5,5,5,1,5,0,52,8.16666666667,0,17.7804296394,0.75,0.733333333333,8,0,yes,exploratory_pairwise_only,ineligible,ineligible_current_batch_design_not_established,ineligible_current_batch_no_exchangeable_units,insufficient_independent_requests_5_below_20
baseline_standard_deviation,double,continuous,30,0,30,0,5,5,5,5,1,5,0,18.2664829426,2.9616757134,0,5.99991366409,0.653455474398,0.6,12,0,yes,exploratory_pairwise_only,ineligible,ineligible_current_batch_design_not_established,ineligible_current_batch_no_exchangeable_units,insufficient_independent_requests_5_below_20
baseline_mad,double,continuous,30,0,30,0,5,5,5,5,1,5,0,11,1.53333333333,0,3.39099551381,0,0.8,6,0,yes,exploratory_pairwise_only,ineligible,ineligible_current_batch_design_not_established,ineligible_current_batch_no_exchangeable_units,insufficient_independent_requests_5_below_20
